container,crop,rep,bay,reservoir_size_liters,plant,date,pH,EC,h2o_temp_C,d.o.,plant_height_cm,harvest_fresh_mass_g,harvest_dry_mass_g
FS2,basil,1,201,75,101,20180810,6.3,2.9,NA,NA,NA,NA,NA
FS2,basil,1,201,75,102,20180810,6.3,2.9,NA,NA,NA,NA,NA
FS2,basil,1,201,75,103,20180810,6.3,2.9,NA,NA,NA,NA,NA
FS2,basil,1,201,75,104,20180810,6.3,2.9,NA,NA,NA,NA,NA
FS2,basil,1,201,75,105,20180810,6.3,2.9,NA,NA,NA,NA,NA
FS2,basil,1,201,75,106,20180810,6.3,2.9,NA,NA,NA,NA,NA
FS2,basil,1,201,75,107,20180810,6.3,2.9,NA,NA,NA,NA,NA
FS2,basil,1,201,75,108,20180810,6.3,2.9,NA,NA,NA,NA,NA
FS2,basil,1,201,75,109,20180810,6.3,2.9,NA,NA,NA,NA,NA
FS2,basil,1,201,75,110,20180810,6.3,2.9,NA,NA,NA,NA,NA
FS2,basil,1,201,75,111,20180810,6.3,2.9,NA,NA,NA,NA,NA
FS2,basil,1,201,75,112,20180810,6.3,2.9,NA,NA,NA,NA,NA
FS2,basil,1,201,75,113,20180810,6.3,2.9,NA,NA,NA,NA,NA
FS2,basil,1,201,75,114,20180810,6.3,2.9,NA,NA,NA,NA,NA
FS2,basil,1,201,75,115,20180810,6.3,2.9,NA,NA,NA,NA,NA
FS2,basil,1,201,75,116,20180810,6.3,2.9,NA,NA,NA,NA,NA
FS2,basil,1,201,75,117,20180810,6.3,2.9,NA,NA,NA,NA,NA
FS2,basil,1,201,75,118,20180810,6.3,2.9,NA,NA,NA,NA,NA
FS2,basil,1,202,150,201,20180810,5.8,2.5,NA,NA,NA,NA,NA
FS2,basil,1,202,150,202,20180810,5.8,2.5,NA,NA,NA,NA,NA
FS2,basil,1,202,150,203,20180810,5.8,2.5,NA,NA,NA,NA,NA
FS2,basil,1,202,150,204,20180810,5.8,2.5,NA,NA,NA,NA,NA
FS2,basil,1,202,150,205,20180810,5.8,2.5,NA,NA,NA,NA,NA
FS2,basil,1,202,150,206,20180810,5.8,2.5,NA,NA,NA,NA,NA
FS2,basil,1,202,150,207,20180810,5.8,2.5,NA,NA,NA,NA,NA
FS2,basil,1,202,150,208,20180810,5.8,2.5,NA,NA,NA,NA,NA
FS2,basil,1,202,150,209,20180810,5.8,2.5,NA,NA,NA,NA,NA
FS2,basil,1,202,150,210,20180810,5.8,2.5,NA,NA,NA,NA,NA
FS2,basil,1,202,150,211,20180810,5.8,2.5,NA,NA,NA,NA,NA
FS2,basil,1,202,150,212,20180810,5.8,2.5,NA,NA,NA,NA,NA
FS2,basil,1,202,150,213,20180810,5.8,2.5,NA,NA,NA,NA,NA
FS2,basil,1,202,150,214,20180810,5.8,2.5,NA,NA,NA,NA,NA
FS2,basil,1,202,150,215,20180810,5.8,2.5,NA,NA,NA,NA,NA
FS2,basil,1,202,150,216,20180810,5.8,2.5,NA,NA,NA,NA,NA
FS2,basil,1,202,150,217,20180810,5.8,2.5,NA,NA,NA,NA,NA
FS2,basil,1,202,150,218,20180810,5.8,2.5,NA,NA,NA,NA,NA
FS2,basil,1,203,75,301,20180810,6.2,2.6,NA,NA,NA,NA,NA
FS2,basil,1,203,75,302,20180810,6.2,2.6,NA,NA,NA,NA,NA
FS2,basil,1,203,75,303,20180810,6.2,2.6,NA,NA,NA,NA,NA
FS2,basil,1,203,75,304,20180810,6.2,2.6,NA,NA,NA,NA,NA
FS2,basil,1,203,75,305,20180810,6.2,2.6,NA,NA,NA,NA,NA
FS2,basil,1,203,75,306,20180810,6.2,2.6,NA,NA,NA,NA,NA
FS2,basil,1,203,75,307,20180810,6.2,2.6,NA,NA,NA,NA,NA
FS2,basil,1,203,75,308,20180810,6.2,2.6,NA,NA,NA,NA,NA
FS2,basil,1,203,75,309,20180810,6.2,2.6,NA,NA,NA,NA,NA
FS2,basil,1,203,75,310,20180810,6.2,2.6,NA,NA,NA,NA,NA
FS2,basil,1,203,75,311,20180810,6.2,2.6,NA,NA,NA,NA,NA
FS2,basil,1,203,75,312,20180810,6.2,2.6,NA,NA,NA,NA,NA
FS2,basil,1,203,75,313,20180810,6.2,2.6,NA,NA,NA,NA,NA
FS2,basil,1,203,75,314,20180810,6.2,2.6,NA,NA,NA,NA,NA
FS2,basil,1,203,75,315,20180810,6.2,2.6,NA,NA,NA,NA,NA
FS2,basil,1,203,75,316,20180810,6.2,2.6,NA,NA,NA,NA,NA
FS2,basil,1,203,75,317,20180810,6.2,2.6,NA,NA,NA,NA,NA
FS2,basil,1,203,75,318,20180810,6.2,2.6,NA,NA,NA,NA,NA
FS2,basil,1,204,150,401,20180810,5.5,2.3,NA,NA,NA,NA,NA
FS2,basil,1,204,150,402,20180810,5.5,2.3,NA,NA,NA,NA,NA
FS2,basil,1,204,150,403,20180810,5.5,2.3,NA,NA,NA,NA,NA
FS2,basil,1,204,150,404,20180810,5.5,2.3,NA,NA,NA,NA,NA
FS2,basil,1,204,150,405,20180810,5.5,2.3,NA,NA,NA,NA,NA
FS2,basil,1,204,150,406,20180810,5.5,2.3,NA,NA,NA,NA,NA
FS2,basil,1,204,150,407,20180810,5.5,2.3,NA,NA,NA,NA,NA
FS2,basil,1,204,150,408,20180810,5.5,2.3,NA,NA,NA,NA,NA
